,date,bx,team,home_away,opponent,win_loss,runs,runs_allowed,innings,record,rank,games_behind_raw,win_pitcher,loss_pitcher,save_pitcher,game_time,day_night_raw,attendance,streak_raw,schedule_comment,IfWeekend,home,night_game,win_loss_new,win_total,loss_total,streak,game_duration,games_behind,actual_date,rain
101,333158400,boxscore,ATL,,KCR,L,4,5,9,60//42,1,up 5.5,Hill,Swarzak,Kennedy,3:30,N,0.6930205234133677,-,,0,1,1,L,60,42,-1,210,5.5,"Tuesday, Jul 23 1980",0.0
102,333244800,boxscore,ATL,,KCR,L,0,2,9,60//43,1,up 4.0,Keller,Teheran,Kennedy,2:43,N,0.7365119672535011,--,,0,1,1,L,60,43,-2,163,4.0,"Wednesday, Jul 24 1980",0.0
103,333417600,boxscore,ATL,@,PHI,W,9,2,9,61//43,1,up 5.5,Newcomb,Arrieta,,3:02,N,0.592544865356554,+,,1,0,1,W,61,43,1,182,5.5,"Friday, Jul 26 1980",0.0
104,333504000,boxscore,ATL,@,PHI,W,15,7,9,62//43,1,up 6.5,Fried,Eflin,,3:34,N,0.7455134643445963,++,,1,0,1,W,62,43,2,214,6.5,"Saturday, Jul 27 1980",0.0
105,333590400,boxscore,ATL,@,PHI,L,4,9,9,62//44,1,up 5.5,Nola,Gausman,,3:13,D,0.7018704163429286,-,,1,0,0,L,62,44,-1,193,5.5,"Sunday, Jul 28 1980",0.0
106,333676800,boxscore,ATL,@,WSN,L,3,6,9,62//45,1,up 4.5,Corbin,Keuchel,,3:23,N,0.46034603649870187,--,,0,0,1,L,62,45,-2,203,4.5,"Monday, Jul 29 1980",0.0
107,333763200,boxscore,ATL,@,WSN,W,11,8,9,63//45,1,up 5.5,Teheran,Fedde,,3:47,N,0.5034395194148079,+,,0,0,1,W,63,45,1,227,5.5,"Tuesday, Jul 30 1980",0.0
108,333849600,boxscore,ATL,@,WSN,W,5,4,10,64//45,1,up 6.5,Newcomb,Doolittle,Tomlin,3:14,D,0.598381625575622,++,,0,0,0,W,64,45,2,194,6.5,"Wednesday, Jul 31 1980",0.0
109,333936000,boxscore,ATL,,CIN,W,4,1,6,65//45,1,up 7.0,Fried,DeSclafani,,2:08,N,0.543444067539654,+++,,0,1,1,W,65,45,3,128,7.0,"Thursday, Aug 1 1980",0.0
110,334022400,boxscore,ATL,,CIN,L,2,5,9,65//46,1,up 6.0,Wood,Gausman,Iglesias,3:01,N,0.7152494835983247,-,,1,1,1,L,65,46,-1,181,6.0,"Friday, Aug 2 1980",0.0
111,334108800,boxscore,ATL,,CIN,W-wo,5,4,10,66//46,1,up 7.0,Jackson,Hughes,,3:47,N,0.7975326422710304,+,,1,1,1,W,66,46,1,227,7.0,"Saturday, Aug 3 1980",0.0
112,334195200,boxscore,ATL,,CIN,L,4,6,10,66//47,1,up 7.0,Stephenson,Greene,Hernandez,3:54,D,0.6269400595046334,-,,1,1,0,L,66,47,-1,234,7.0,"Sunday, Aug 4 1980",0.0
113,334281600,boxscore,ATL,@,MIN,L-wo,3,5,9,66//48,1,up 6.0,May,Martin,,3:01,N,0.5063958005647256,--,,0,0,1,L,66,48,-2,181,6.0,"Monday, Aug 5 1980",0.0
114,334368000,boxscore,ATL,@,MIN,W,12,7,9,67//48,1,up 6.0,Foltynewicz,Berrios,,3:27,N,0.6958820519623263,+,,0,0,1,W,67,48,1,207,6.0,"Tuesday, Aug 6 1980",149.79999999999998
115,334454400,boxscore,ATL,@,MIN,W,11,7,9,68//48,1,up 6.0,Fried,Perez,,3:33,D,0.6761924614830677,++,,0,0,0,W,68,48,2,213,6.0,"Wednesday, Aug 7 1980",0.0
116,334540800,boxscore,ATL,@,MIA,L,2,9,9,68//49,1,up 5.5,Hernandez,Keuchel,,3:04,N,0.16956925467604086,-,,0,0,1,L,68,49,-1,184,5.5,"Thursday, Aug 8 1980",0.0
117,334627200,boxscore,ATL,@,MIA,W,8,4,9,69//49,1,up 6.5,Teheran,Smith,,3:19,N,0.15268434118516552,+,,1,0,1,W,69,49,1,199,6.5,"Friday, Aug 9 1980",0.0
118,334713600,boxscore,ATL,@,MIA,L-wo,6,7,10,69//50,1,up 6.5,Brigham,Newcomb,,3:34,N,0.5632094600996798,-,,1,0,1,L,69,50,-1,214,6.5,"Saturday, Aug 10 1980",0.0
119,334800000,boxscore,ATL,@,MIA,W,5,4,9,70//50,1,up 6.5,Foltynewicz,Noesi,Jackson,3:23,D,0.23381151812617257,+,,1,0,0,W,70,50,1,203,6.5,"Sunday, Aug 11 1980",0.0
120,334972800,boxscore,ATL,,NYM,W,5,3,9,71//50,1,up 6.0,Fried,Wheeler,Melancon,3:18,N,0.5235460213382858,++,,0,1,1,W,71,50,2,198,6.0,"Tuesday, Aug 13 1980",0.0
121,335059200,boxscore,ATL,,NYM,W,6,4,9,72//50,1,up 6.0,Martin,Lugo,Blevins,3:15,N,0.4468911671625386,+++,,0,1,1,W,72,50,3,195,6.0,"Wednesday, Aug 14 1980",0.0
122,335145600,boxscore,ATL,,NYM,L,8,10,9,72//51,1,up 5.5,Stroman,Teheran,Diaz,3:33,N,0.481798025355796,-,,0,1,1,L,72,51,-1,213,5.5,"Thursday, Aug 15 1980",0.0
123,335232000,boxscore,ATL,,LAD,L,3,8,9,72//52,1,up 4.5,Kolarek,Newcomb,Urias,3:06,N,0.7847978927021547,--,,1,1,1,L,72,52,-2,186,4.5,"Friday, Aug 16 1980",0.0
